tratamento,dias,comprimento_raiz,altura_folha,massa_fresca_raiz,massa_seca_raiz,massa_fresca_PA,massa_seca_PA,num_folhas
controle,0,4.0999999999999996,9.1999999999999993,13.42,0.91000000000000003,14.859999999999999,1.1299999999999999,4.2000000000000002
controle,0,3.2200000000000002,9.2400000000000002,6.5999999999999996,0.26000000000000001,6.6200000000000001,0.5,3.6000000000000001
controle,0,3.9399999999999999,9.9000000000000004,11.359999999999999,0.69999999999999996,14.039999999999999,0.87,5.4000000000000004
controle,0,4.3399999999999999,10.140000000000001,10.75,0.48999999999999999,4.8399999999999999,0.35999999999999999,4.2000000000000002
T1,0,3.8999999999999999,9.8000000000000007,11.699999999999999,0.81999999999999995,16.870000000000001,1.1399999999999999,5.5999999999999996
T1,0,4.0999999999999996,10.4,13.390000000000001,0.59999999999999998,10.07,0.68999999999999995,4.7999999999999998
T1,0,3.7000000000000002,10.199999999999999,22.739999999999998,1.3100000000000001,12.93,0.97999999999999998,5
T1,0,3.5,9.5999999999999996,3.9399999999999999,0.19,8.3499999999999996,0.5,4.7999999999999998
T2,0,3.8199999999999998,9.9000000000000004,5.5199999999999996,0.38,13.67,0.87,4.2000000000000002
T2,0,4.0800000000000001,10.029999999999999,4.6100000000000003,0.245,17.800000000000001,1.23,5.2000000000000002
T2,0,3.98,9.7799999999999994,6.6600000000000001,0.27000000000000002,7.2599999999999998,0.5,5.5999999999999996
T2,0,3.9399999999999999,10.02,5.2999999999999998,0.33000000000000002,10.15,0.72999999999999998,5.4000000000000004
controle,15,5.4000000000000004,11.65,11.1,0.73999999999999999,18.850000000000001,1.05,6
controle,15,5.6699999999999999,11.92,17.829999999999998,0.75,23.920000000000002,1.6000000000000001,5.5
controle,15,6.7999999999999998,13,16.02,0.70999999999999996,15.880000000000001,0.90000000000000002,6.5
controle,15,6.1699999999999999,12.17,15.529999999999999,0.72999999999999998,39.960000000000001,2.4300000000000002,6.25
T1,15,7.4699999999999998,13.25,24.739999999999998,1.72,34.479999999999997,2.5899999999999999,7.5
T1,15,6.5,11.82,23.16,1.47,33.210000000000001,2.1600000000000001,6.5
T1,15,7.6699999999999999,13.449999999999999,12.609999999999999,0.85999999999999999,20.879999999999999,1.23,6.5
T1,15,7.5,13.470000000000001,17.48,1.23,28.219999999999999,1.8100000000000001,6.5
T2,15,7.3499999999999996,13.27,9.2400000000000002,0.53000000000000003,19.210000000000001,1.25,6.75
T2,15,7.9000000000000004,13.85,19.579999999999998,1.3700000000000001,20.140000000000001,1.03,7.75
T2,15,7.2199999999999998,13.220000000000001,7.0499999999999998,0.40999999999999998,18.739999999999998,0.89000000000000001,7.75
T2,15,7.7999999999999998,13.85,10.779999999999999,0.84999999999999998,25.210000000000001,1.6200000000000001,7.5
controle,30,8.0600000000000005,13.93,6.29,0.47999999999999998,23.390000000000001,3.3700000000000001,6
controle,30,7.7599999999999998,13.300000000000001,9.9800000000000004,0.54000000000000004,20.460000000000001,2.8100000000000001,5.5999999999999996
controle,30,7.5999999999999996,13.4,10.59,0.60999999999999999,12.24,1.1100000000000001,6.6600000000000001
controle,30,7.7599999999999998,13.4,7.7800000000000002,0.53000000000000003,16.260000000000002,1.8700000000000001,7.3300000000000001
T1,30,10.6,16.16,16.5,1.0900000000000001,26.059999999999999,2.7799999999999998,10
T1,30,9.4299999999999997,15.26,5.5800000000000001,0.28999999999999998,19.710000000000001,0.82999999999999996,7.6600000000000001
T1,30,9.6999999999999993,15.24,30.48,2.1099999999999999,29.699999999999999,4.0700000000000003,7.3300000000000001
T1,30,8.8599999999999994,14.199999999999999,13.880000000000001,0.92000000000000004,20.579999999999998,2.0800000000000001,7
T2,30,10.1,16.059999999999999,21.079999999999998,1.29,18.260000000000002,1.73,6.6600000000000001
T2,30,9.2300000000000004,13.73,13.26,1.05,16.449999999999999,0.96999999999999997,6.3300000000000001
T2,30,8.4299999999999997,14.300000000000001,13.23,1.48,24.879999999999999,3.8599999999999999,7.3300000000000001
T2,30,7,12.43,36.479999999999997,2.8799999999999999,29.73,3.9399999999999999,6.6600000000000001
controle,45,8.4399999999999995,13.98,6.3700000000000001,0.42999999999999999,19.210000000000001,2.54,7
controle,45,9.8499999999999996,14.49,7.1500000000000004,0.38,20.41,0.96999999999999997,7.7000000000000002
controle,45,8.6199999999999992,13.67,13.32,1.3200000000000001,17.260000000000002,1.6399999999999999,7.4800000000000004
controle,45,8.8699999999999992,14.48,9.2599999999999998,0.93999999999999995,17.52,1.9299999999999999,8.0999999999999996
T1,45,14.130000000000001,17.34,17.960000000000001,1.3700000000000001,21.359999999999999,2.3100000000000001,10
T1,45,11.91,15.57,16.079999999999998,0.53000000000000003,19.539999999999999,1.8600000000000001,7.9199999999999999
T1,45,7.5800000000000001,14.210000000000001,24.59,1.6100000000000001,17.649999999999999,2.4700000000000002,7
T1,45,6.8799999999999999,14.390000000000001,13.619999999999999,0.27000000000000002,13.32,0.82999999999999996,7
T2,45,11.4,16.93,25.870000000000001,1.3200000000000001,31.27,2.4399999999999999,7
T2,45,12.220000000000001,16.309999999999999,22.190000000000001,1.1399999999999999,24.48,1.8500000000000001,8
T2,45,10.34,16.399999999999999,18.879999999999999,1.3700000000000001,26.370000000000001,2.6099999999999999,7.3799999999999999
T2,45,7.7599999999999998,13.800000000000001,25.170000000000002,1.4199999999999999,25.030000000000001,2.73,7.4100000000000001
controle,60,8.6999999999999993,14.1,7.0700000000000003,0.32000000000000001,16.84,0.92000000000000004,7
controle,60,10.300000000000001,15.800000000000001,6.1699999999999999,0.20999999999999999,8.0299999999999994,0.58999999999999997,8
controle,60,8.8000000000000007,14.300000000000001,18.32,1.72,21.420000000000002,2.7999999999999998,8
controle,60,9.8000000000000007,15,11.699999999999999,1.03,18.609999999999999,1.9099999999999999,10
T1,60,14.300000000000001,18.600000000000001,17.260000000000002,1.9399999999999999,21.82,2.4700000000000002,10
T1,60,12.4,16.199999999999999,16.170000000000002,1.01,19.68,1.49,8
T1,60,7.5999999999999996,13.800000000000001,8.6899999999999995,0.35999999999999999,19.32,1.29,7
T1,60,7,14.5,5.5800000000000001,0.23000000000000001,11.25,0.59999999999999998,7
T2,60,15.1,17.199999999999999,25.170000000000002,1.3600000000000001,33.25,2.8199999999999998,8
T2,60,17.899999999999999,16.5,23.350000000000001,1.26,29.800000000000001,2.4300000000000002,9
T2,60,17.5,16.600000000000001,24.739999999999998,1.21,29.859999999999999,2.4700000000000002,9
T2,60,8.8000000000000007,14.6,20.629999999999999,0.88,26.09,2.1499999999999999,8
